Freq	S11	S11ang	S21	S21ang	S12	S12ang	S22	S22ang				
4327600000	-1.31E+01	1.40E+02	2.76E+01	4.55E+01	-4.85E+01	1.39E+02	2.97E+01	6.68E+01				
4417550000	-1.46E+01	1.33E+02	2.76E+01	1.82E+01	-4.18E+01	7.64E+01	2.94E+01	6.40E+01				
4507500000	-1.50E+01	1.33E+02	2.76E+01	-8.05E+00	-4.62E+01	-1.74E+02	2.95E+01	6.25E+01				
4597450000	-1.53E+01	1.25E+02	2.77E+01	-3.50E+01	-4.93E+01	1.58E+02	2.94E+01	5.71E+01				
4687400000	-1.64E+01	1.24E+02	2.77E+01	-6.31E+01	-4.10E+01	1.51E+01	2.91E+01	5.66E+01				
4777350000	-1.65E+01	1.17E+02	2.80E+01	-8.97E+01	-4.41E+01	1.20E+02	2.89E+01	4.92E+01				
4867300000	-1.69E+01	1.15E+02	2.79E+01	-1.16E+02	-4.44E+01	-2.62E+01	2.82E+01	4.86E+01				
4957250000	-1.84E+01	1.07E+02	2.79E+01	-1.43E+02	-4.04E+01	1.54E+02	2.81E+01	4.90E+01				
5047200000	-2.00E+01	1.10E+02	2.78E+01	-1.70E+02	-4.15E+01	4.27E+01	2.67E+01	4.31E+01				
5137150000	-1.93E+01	1.01E+02	2.78E+01	1.62E+02	-4.16E+01	1.52E+02	2.72E+01	4.25E+01				
5227100000	-1.93E+01	1.09E+02	2.78E+01	1.36E+02	-5.30E+01	7.42E+01	2.54E+01	4.11E+01				
5317050000	-2.06E+01	1.04E+02	2.79E+01	1.10E+02	-3.94E+01	-7.50E+01	2.56E+01	3.74E+01				
5407000000	-2.18E+01	9.76E+01	2.74E+01	8.17E+01	-5.00E+01	-6.77E+01	2.39E+01	4.10E+01				
5496950000	-2.44E+01	1.17E+02	2.77E+01	5.52E+01	-4.57E+01	1.36E+02	2.42E+01	3.52E+01				
5586900000	-2.27E+01	1.11E+02	2.77E+01	2.79E+01	-3.84E+01	1.72E+02	2.24E+01	4.18E+01				
5676850000	-2.45E+01	1.28E+02	2.76E+01	2.19E+00	-4.50E+01	-3.86E+01	2.25E+01	3.79E+01				
5766800000	-2.23E+01	1.19E+02	2.76E+01	-2.48E+01	-3.86E+01	7.25E+01	2.24E+01	4.56E+01				
5856750000	-2.17E+01	1.42E+02	2.75E+01	-5.30E+01	-4.33E+01	4.66E+01	2.11E+01	4.49E+01				
